"Particuliere huishoudens naar samenstelling en grootte, 1 januari"
"";"Onderwerpen";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling"
"";"Onderwerpen";"Totaal particuliere huishoudens";"Eenpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden";"Meerpersoonshuishouden"
"";"Onderwerpen";"Totaal particuliere huishoudens";"Eenpersoonshuishouden";"Alle meerpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Niet-gehuwd paar";"Gehuwd paar";"Eenouderhuishoudens";"Overig huishouden"
"";"Onderwerpen";"Totaal particuliere huishoudens";"Eenpersoonshuishouden";"Alle meerpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Totaal niet-gehuwde paren";"Totaal gehuwde paren";"Totaal eenouderhuishoudens";"Overig huishouden"
"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal alle leeftijden";"1995";"6468682";"2109149";"4359533";"1886794";"2472739";"518116";"3436991";"360754";"43672"
"Totaal alle leeftijden";"2000";"6801008";"2272219";"4528789";"2062123";"2466666";"657579";"3440642";"384317";"46251"
"Totaal alle leeftijden";"2005";"7090965";"2449378";"4641587";"2110295";"2531292";"747056";"3402433";"444124";"47974"
"Totaal alle leeftijden";"2010";"7386144";"2669516";"4716628";"2181514";"2535114";"836339";"3339959";"486250";"54080"
"Totaal alle leeftijden";"2012";"7512824";"2761764";"4751060";"2192158";"2558902";"872962";"3323517";"510894";"43687"
"Totaal alle leeftijden";"2013";"7569371";"2802182";"4767189";"2202863";"2564326";"892743";"3309894";"521578";"42974"
"Totaal alle leeftijden";"2014";"7590228";"2803852";"4786376";"2216508";"2569868";"916991";"3291177";"535870";"42338"
"Totaal alle leeftijden";"2015";"7665198";"2867797";"4797401";"2224618";"2572783";"934671";"3275358";"545289";"42083"
"Totaal alle leeftijden";"2016";"7720787";"2906334";"4814453";"2235783";"2578670";"954074";"3261124";"557426";"41829"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 12-2-2017"
